Phrase,Target
technical guidance design implementation data storage governance systems,0
technical evaluations solution design approaches,0
passion data engineering,0
fluent sql experience,0
load data,0
language azure,0
cloud platform experience devops tools terraform,0
github additional information want,0
join kms,0
positive claim,0
brilliant products millions,0
global users,0
awesome global products,0
conquer world vietnam,0
qasymphony,0
kobiton,0
katalon,0
witurn,0
workplace love,0
kms,0
attractive salary benefits performance appraisals,0
year performance,0
short-term long-term assignments you.s,0
latte,0
cappuccino,0
espresso,0
job knorex,0
edge advertising technology mnc offices,0
china,0
thailand malaysia,0
precision performance marketing products solutions world,0
brands media agencies,0
full-stack platform,0
xpo™,0
//xpo.knorex.com,0
technology platform deliver,0
marketing message,0
right audience,0
moment,0
right place,0
underpinned multi-layered data-driven approach,0
xpo shields customers,0
complexity fuss,0
dynamic personalized marketing experiences,0
complement offering,0
engineering sales,0
management operations,0
many different opportunities,0
scale ambition creativity,0
embrace dynamic pragmatic way things,0
long term achievement,0
short term goals,0
joy building stuffs,0
others process,0
stuffs,0
invite explore career,0
pragmatic solutions data analytics problems,0
metrics measure outcome/impact,0
solutions time,0
identify new technologies implementation,0
communicate business,0
technical teams,0
analytics requirements,0
respond,0
follow incorporate feedback,0
draw new insights,0
tasks meet,0
multiple deadlines,0
similar positions,0
nodejs proficiency multiple languages,0
mongodb nice good knowledge algorithms data structures,0
ad serving,0
ad,0
strong analytics problem,0
technique willingness,0
able pick new technology,0
new concepts,0
collaborative mode,0
pressure,0
good work,0
good follow-through,0
spoken english,0
salary quarterly bonus scheme w3f fund learning development shui,0
bao,0
viet health care insurance macbook,0
ample opportunities,0
propose ideas,0
work passionate,0
driven colleagues,0
opportunity work cross-country variety projects,0
different nature,0
comprehensive health insurance coverage,0
personal development fund courses materials,0
job ai,0
people champion values,0
big data engineers,0
join team,0
satisfy desire,0
new territory,0
give runway,0
trustingsocial works data pipeline infrastructure,0
backbone business,0
elegant functional scala code crunch tbs data hadoop clusters,0
data pipeline deployment clusters,0
aws gcp,0
hadoop clusters,0
right security reliability ha,0
mention building,0
unified data-lake scratch,0
time time,0
tasks data science team,0
improve framework pipelines,0
expertise requirements,0
limited spark,0
datastores,0
relational nosql,0
big data stacks,0
various etl techniques frameworks,0
oozie,0
principles,0
rabbitmq,0
top market rate,0
generous benefits,0
free food office,0
grab work allowance,0
additional info https,0
v=inaedgvocl8,0
t=29s,0
job “,0
every logistics journey,0
quincus company quincus,0
issues—wherever world,0
effective total end end supply chain solutions,0
experience bypasses,0
traditional expensive logistics options,0
advanced technology,0
data engineer build data pipelines,0
next generation data tools,0
clear sense connection organization leadership,0
data engineering eyes,0
partnership-heavy role,0
quincus research data engineering,0
data science/data engineering team partners,0
teams quincus,0
research-nature team,0
contribute variety projects technologies,0
science,0
ml modeling,0
rl modeling,0
tooling,0
broad range innovation,0
broad range projects deliverables,0
ml models,0
measurements,0
tools process,0
day day partner leadership,0
program managers,0
direction domain areas,0
matter expert,0
drive solutions,0
complex strategic problems,0
efficient reliable data pipelines,0
number platforms,0
online caches,0
real-time systems,0
educate partners,0
use data analytics experience ‘,0
gaps,0
logging processes,0
leverage data business principles,0
large scale web,0
mobile data infrastructure problems,0
data engineering tooling standards,0
productivity quality output data engineers,0
positive leader,0
scope organization,0
relevant technical field,0
equivalent practical experience,0
python development experience,0
workflow management engines,0
i.e,0
prefect,0
dagster,0
digdag,0
google cloud composer,0
aws step functions,0
communications skills,0
understanding requirements,0
multiple individuals stakeholders,0
etl design,0
implementation maintenance,0
cloud on-prem big data/mpp analytics platform,0
azure data warehouse,0
teradata,0
coding language,0
real-time pipelines,0
experience data quality validation,0
sql performance,0
e2e process optimization,0
anomaly/outlier detection,0
notebook-based data science workflow,0
experience airflow,0
massive datasets,0
presto,0
fossil fossil vietnam,0
misfit,0
fossil group worldwide,0
fossil,0
high-tech company,0
wearables,0
smart-home products,0
operations office,0
portfolio brands,0
world-renowned brands,0
michael kors,0
burberry,0
emporio armani,0
diesel,0
dkny,0
watchmakers world,0
fossil group,0
watches accessories year,0
presence misfit,0
towards,0
spectrum,0
devices,0
fashion-conscious consumers,0
convergence style technology,0
technology-forward strategy,0
fossil vietnam positions center excellence cloud,0
app innovation development fossil group power wider array,0
valuable asset,0
mission hand,0
place innovation flourishes,0
stories,0
deploy maintain,0
big data solutions,0
scalable reliable etl,0
data pipelines processes,0
large number variety data sources,0
work teams,0
relevant reports,0
server cost efficiency,0
optimize performance data analytics infrastructure,0
key insights decision making,0
coach,0
junior team members,0
good team culture humility,0
commitment,0
humor customer service,0
data-intensive systems,0
lambda / kappa / data lake architecture,0
workflow management systems,0
aws data pipeline,0
data warehouse/data,0
event-driven systems,0
huge plus,0
strong english communication skills,0
cloud service providers,0
web services,0
good reputation open-source community github,0
gitlab,0
good leadership,0
effective communication,0
return,0
● competitive salary,0
salary probation,0
december performance bonus,0
● insurance,0
probation premium health insurance employees family,0
probation ●,0
annual leave,0
volunteer time,0
summer hours,0
● gift care,0
welcome watch probation,0
mobile cards,0
vnd silver membership getfit gym,0
yoga center,0
free lunch,0
free dinner,0
● tools,0
mac/windows,0
ios/android,0
devices/state-of-the-art wearables,0
name,0
● opportunities,0
tech giants,0
multinational offices,0
language classes,0
engagement activities,0
sports competition,0
halloween christmas year-end-parties,0
yah,0
contact job poster chanh,0
talent acquisition specialist,0
inc. job poster location ho chi,0
latin america,0
cis,0
data team vision,0
affordable sustainable fashion customers markets,0
technology data,0
gfg data team,0
integral part,0
data-driven decision-making culture,0
role lead data engineer data team,0
aspects data,0
platform infra,0
build pipeline engineering,0
tooling/services,0
core platform,0
state-of-the-art data life cycle management platform,0
consumption channels,0
business intelligence business stakeholders,0
offerings needs,0
build manage data asset,0
scalable resilient open source,0
efficient data ml infrastructure,0
microservices,0
architecture proper devops principles practices,0
next-gen data lifecycle management suite tools/frameworks,0
ingestion consumption top data,0
support real-time,0
batch use cases,0
gfgs group,0
vertical build,0
expose metadata catalog data,0
easy exploration,0
lineage requirements,0
fault tolerant,0
mission-critical big data platform,0
able maintain monitor,0
high availability,0
understanding big data components,0
administration fundamentals,0
hands-on building,0
complete data platform,0
various open source technologies,0
good fundamental hands-on knowledge linux building,0
big data stack top aws/gcp,0
strong understanding big data,0
related technologies,0
apache atlas,0
complex event,0
spark streaming,0
apache flink,0
beam etc,0
able drive devops,0
ci/cd,0
containerization,0
blue-green deployments,0
secrets management etc data ecosystem,0
able develop,0
platform auto scale capability,0
able develop observability monitoring ecosystem components,0
programming,0
offer,0
jazzhr frkzlusvaf,0
efficient qualifications,0
little / supervision,0
additional information offer,0
job tiki tiki,0
first country,0
2-hour delivery,0
tiki,0
nps score,0
amongst e-commerce platforms,0
customer trust satisfaction heart everything,0
harmony,0
core foundation culture,0
fast-growing vietnam ecommerce market,0
exceptional growth,0
interesting unique problems,0
vietnam market diverse,0
seller base,0
populated city logistics,0
consumer spending,0
presents,0
unique product technology building opportunities,0
heavy technology investment,0
many new things,0
context,0
career-building,0
full lifecycle innovation product building opportunities,0
data-informed culture,0
knowledge-hungry colleagues,0
next-gen technologies,0
problems stock options healthcare,0
open plan,0
tiki seller center system,0
seller center place thousands sellers,0
tiki system operate,0
door tiki system,0
friendly user interface,0
extendable system,0
various micro-services,0
sellers business seller center,0
infrastructure marketplace team,0
create framework data scientists,0
seller data,0
building storage/compute/scheduler,0
big data processing,0
building data factory platform users,0
meaningful datasets,0
large scale,0
system requirements,0
years software engineering focus data engineering proficiency sql,0
python bachelor computer science,0
related analytical field,0
good problem-solving understanding design,0
large scalability,0
reliability experiences,0
big data ecosystem,0
etl tasks,0
engineering team,0
iterate,0
‘ thing,0
version anything,0
constant stream improvements tests,0
move,0
major changes,0
many times hours,0
data-informed mindset,0
try use data inform decision,0
technical assistance teams,0
afraid challenge,0
attractive offers,0
open communication passionate,0
easy access,0
library tons startup,0
books,0
private healthcare insurance,0
annual health check-ups,0
special internal programs tikiers,0
tiki.vn,0
free ship,0
tikinow service,0
discount,0
beautiful office pantry room,0
gymnastic equipment,0
yoga rooms,0
open space,0
cross-department communication,0
competitive salary performance review,0
13th-month pay,0
senior data engineer role become,0
available unicorn food-delivery software company hcmc,0
senior data engineer role,0
data services team,0
data infrastructure company,0
data engineering teams,0
data solutions design,0
implement framework,0
platform architecture,0
handle needs,0
company design,0
build batch real-time data pipelines,0
api,0
scientist projects,0
build scalable /,0
low latency,0
ai-powered systems,0
infrastructure cost,0
reasonable level,0
start-up international environment,0
bonus point,0
flexible open new challenges,0
solid experience data engineers,0
various topics data domain,0
strong programming skill,0
python…,0
knowledge experience,0
cloud-base infrastructure,0
nosql database,0
open mindset learning,0
problem-solving good english communication business results,0
strong commitment bring,0
scope offer,0
size business,0
freedom autonomy drive career,0
great place work,0
want take,0
great career progression opportunities,0
right person,0
discuss new opportunity,0
due high volume applications,0
touch application,0
cho tot technology foundation,0
next level growth,0
ten millions,0
digital products,0
engineering team building,0
robust platform,0
automations,0
engineering pipeline,0
continuous explorations product innovations,0
build systems,0
hundred millions requests,0
messages,0
big scale fast data problem,0
pace agile software development internet,0
digital product,0
competitive remuneration exposure,0
regional travel,0
malaysia,0
myanmar collaboration workshop,0
conferences,0
responsible development execution,0
complex large scale data structures pipelines,0
collect standardize data generate insights,0
advance,0
analytic needs,0
complex etl,0
designs database systems,0
tools real-time offline,0
analytic processing,0
designs modifies,0
promote integral data operations process,0
multiple data driven business operations,0
collaborates,0
convert algorithms data models production systems,0
new product innovations,0
leverages,0
skills python,0
java sql,0
complex business problems,0
implement custom packages,0
analytical problems,0
applies,0
analytical works,0
different business units,0
related experience building data engineering pipeline,0
knowledge spark,0
dataflow,0
dataproc,0
airflow pipelines framework,0
expertise sql,0
python java experience bash scripts,0
unix utilities,0
experience data engineering work,0
ml vision,0
proven ability leverage,0
multiple tools,0
innovative solutions,0
superior ability,0
technical ideas results,0
non-technical partners,0
verbal form,0
taking time,0
read job description,0
advance decide,0
apply position,0
weeks,0
another chance,0
contact job poster le truc,0
foreign trade university job poster location ho chi,0
purpose job,0
responsible building,0
derive carry technical challenges,0
members data services team,0
engineering teams,0
work data scientist design,0
scalable /,0
maintain data,0
data data science projects,0
data infrastructure cost,0
up-to-date industry standards,0
technological advancements,0
data infrastructure,0
junior team member,0
suitable training teams,0
experience skills,0
proficient common big data,0
large-scale environment,0
ml models production,0
continuous integration deployment,0
big data projects,0
party analytics solutions,0
amplitude,0
tag manager,0
cognitive knowledge,0
excellent communication skill,0
good speaking/writing english,0
job part engineering team kms solutions,0
work clients development team understand business needs,0
lead small/medium development teams,0
technical direction qualifications,0
nice experience business intelligence,0
skills experience experience cloud,0
professional services organization experience columnar,0
script additional information,0
job benefit,0
fringe benefits,0
kindergarten,0
premium,0
extra healthcare insurance,0
career/ performance evolution,0
flat organization,0
respect,0
transparency,0
salary bonus/,0
competitive salary cutting-edge technologies/ scrum methodology/ agile development,0
udemy/ leacademy/ english training course,0
great activities,0
weekly happy friday,0
data science help,0
complex algorithms,0
unique insights data,0
agile software development,0
make improvements,0
back end systems model,0
front end,0
end data sources,0
comprehensive picture user,0
enable powerful data analysis build data pipelines,0
data disparate sources,0
overall business report pm,0
project manager,0
requirements bachelor,0
information technology,0
data visualization/ exploration tools familiarity,0
redshift rds communication skills,0
technical concepts,0
non-technical business leaders,0
dynamic,0
english communication,0
nice master,0
degree stats,0
math,0
related discipline experience,0
professional cerifications,0
learn team,0
technical consultant clients qualifications,0
experience business intelligence,0
industry capacity,0
right solution clients data,0
experience experience,0
strong customer obsession skills experience,0
job startup,0
senior mindset,0
customer-focused approach,0
comfortable agile,0
ownership feature,0
detailed specifications,0
perfect context everyday day counts,0
handle billions events,0
france,0
japan,0
new caledonia tech stack process billions events,0
big query move,0
new architecture clickhouse/redshift app,0
/ .net core / [ asp.net ],0
//asp.net/,0
core web api,0
mindset,0
architecture,0
google cloud microservice,0
data stack,0
aws / postgresql,0
/ bigquery day day,0
high-tech background,0
air360,0
work database engineers,0
optimize current database architecture clickhouse redshift research,0
optimize current data pipeline,0
performance design,0
efficient architecture store analyze,0
lead large-scale projects mentor developers,0
complex etl data pipeline,0
smart data formats,0
functionalities product,0
cost developing tools,0
data scientists machine,0
open source technologies,0
clickhouse,0
akka,0
ecommerce experience… scalefast,0
successful direct-to-consumer online business,0
next-generation technology platform,0
optimize modern ecommerce,0
end-to-end infrastructure,0
global merchant-of-record agreements,0
fulfillment,0
subscription,0
loyalty programs,0
finance functions,0
new revenue,0
delightful brand experiences,0
global presence,0
proven major brands,0
l ’ oréal,0
microsoft,0
club,0
hasbro,0
flir,0
top end-to-end dtc ecommerce offering,0
first-class customer experience analytics,0
understand users,0
websites,0
mobile apps boost customer engagement rate conversion,0
powerful technology brings,0
real complementary upgrade lots brands,0
similar tools,0
many brands merchants,0
pain,0
strategy air360,0
allows brands,0
automate process,0
scalefast air360,0
become part,0
multi-cultural company contribute experience,0
learn experience others,0
sustainable development team work,0
remote days,0
right everyone,0
% remote,0
private medical insurance get opportunity influence future services,0
platform central ho chi minh city office,0
5-minute walk duc,0
church,0
green open office lunch allowance parking fees,0
days holiday,0
outdoor activities,0
short trips,0
private sales,0
exclusive brands,0
program,0
degree equivalent industry experience,0
database engineer experience,0
global company,0
strong experience sql query dbms,0
big database engines,0
high desire learn,0
strong commitment,0
nice experience etl data process experience aws/gcp/azure,0
centos,0
saas analytics systems,0
hotjar experience,0
python \,0
world buy stores,0
celebrate diversity customer base,0
differences,0
scalefast,0
colour,0
ancestry,0
gender,0
gender identity expression,0
strive equal opportunity workplace,0
job katalon,0
inc. global product company,0
“ all-in-one ” test automation solutions,0
software excellence confidence,0
test automation,0
” gartner peer insights,0
business intelligence function,0
single source truth,0
company provide reports insights order,0
data engineers,0
welcome challenges,0
new responsibilities,0
manage data infrastructure,0
data engineering position,0
central data warehouse,0
complex sets,0
non-functional functional business requirements,0
required infrastructure,0
actionable insight key business performance metrics,0
limited executive,0
revenue teams,0
data-related technical issues,0
in-depth understanding relevant data engineering,0
discuss share knowledge team display expertise tools,0
solve data problems,0
initiative support,0
asked requirements,0
must-have proven experience data engineer,0
technical expertise database,0
hands-on experience sql database design ability,0
technical non-technical stakeholders,0
different functional teams,0
agile mindset,0
english communication ability influence,0
authority,0
nice-to-have great numerical analytical skills,0
data engineering certification,0
benefits katalon,0
talented people,0
world-class products,0
lifelong comrades,0
experts,0
various fields,0
exceptional teams,0
happy workplace,0
place work,0
words,0
attractive compensation package,0
achievable quarterly performance bonus,0
supportive allowances,0
flexible working time place,0
high-end working equipment,0
a-class office amenities,0
modern workspace design,0
in-house entertainment facilities,0
unlimited refreshments,0
snacks premium healthcare package,0
every summer,0
annual year-end party,0
much fun,0
proud equal opportunity employer,0
care people,0
innovative people,0
employment decision,0
childbirth,0
related medical conditions,0
physical mental disability,0
work data,0
compulsion tiki,0
crucial part,0
important mission,0
understand customers,0
massive amount data,0
architecture process,0
user behaviors,0
real-time develop “,0
open api ” system,0
internal team use,0
services integrate,0
handle hundreds models time,0
huge traffic customers,0
data pipeline flow,0
events,0
minimum,0
year experience backend,0
strong object-oriented analysis design,0
performance reliability,0
familiar systems kafka,0
big data spark,0
druid,0
large scale deployment performance,0
rich experiences,0
environment docker,0
cloud-based system,0
amazon web services,0
constant streams improvements tests,0
internal events bond,0
mutual understanding,0
spirit team building,0
team outing,0
tiki ‘ birthday,0
library open space,0
www.hcltech.com,0
senior java developer hcl hcl technologies,0
introduction hcl,0
large delivery centres,0
delivery centre ho chi,0
city data transformation initiative,0
major global bank,0
legacy data,0
modern digital data technology,0
project employees,0
opportunity experience,0
modern data tool stack,0
agile ways,0
excellent opportunity work,0
global leader,0
pipeline google cloud platform • work implementation teams,0
deep technical expertise,0
large scale data solutions enterprise,0
modern data/analytics technologies,0
• work data team,0
gcp analyze data,0
generate reports/visualizations,0
integrate massive datasets,0
multiple data sources data,0
• implement methods,0
automation parts,0
data pipelines deploy development production • formulate business problems,0
technical data problems,0
key business drivers,0
collaboration product management • design pipelines,0
• extract,0
clean validate data,0
main requirements ➢,0
infromatica,0
apache beam,0
relative experience,0
language following,0
java/python/go,0
• relative experience,0
declarative ci/cd,0
jenkins,0
azure devops,0
relative experience databases,0
sql nosql •,0
strong engineering mindset automate tasks,0
use cases,0
test cases,0
pr/incident resolution deployments,0
• relative experience automation,0
relative experience infrastructure code,0
iaac,0
terraform,0
cloud formation,0
azure arm templates,0
mapreduce,0
zookeeper,0
pig,0
hive… • knowledge experience hadoop distributions cloudera,0
hortonworks… •,0
relative experience data management,0
data governance data architecture data,0
data quality data integration benefit •,0
salary + performance bonus hcl • insurance,0
full base,0
salary • meal allowance,0
employee family •,0
am-6:00 pm mondays,0
support information,0
ngoc nguyen,0
recruitment department hcl,0
zalo/mobile,0
ngoc_nguyen @ hcl.com linkedin,0
www.linkedin.com/in/ngoc-nguyen-6b322422a contact job poster,0
recruiter hcl technologies,0
java spring,0
senior data engineer join workplace service team,0
national australia bank,0
workplace service support chatbot team,0
innovative data engineering,0
microsoft azure,0
nab ’ in-house data platforms,0
technical team members,0
actionable insights value,0
conversational ai data,0
smes,0
current data workflows,0
autonomous pipelines,0
conversational ai data etl,0
data engineering solution design,0
collaboration business analysts,0
platform architects,0
security architects product owners,0
software engineers,0
hands-on fashion,0
implement solutions,0
environment skills,0
relevant industry experience,0
technical role,0
cloud development,0
user experience,0
data science analytics,0
ms azure,0
devops,0
service desk customer service,0
hands-on experience data engineering processes,0
raw meta-data services,0
data ingestion,0
hands-on experience data platforms toolsets,0
azure monitor,0
azure application insights,0
azure functions,0
azure database,0
above-mentioned services requirement,0
strong language capabilities,0
sparksql,0
powershell,0
arm templates,0
nodejs r,0
hands-on experience analytics,0
toolset powerbi,0
ekl stack,0
experience natural language processing,0
and/or conversational ai,0
chatbot development,0
strong understanding cloud infrastructure,0
networking concepts,0
knowledge ci/cd platforms,0
kubernetes service,0
aks,0
container platforms,0
build automation,0
agile,0
appsec tools,0
good understanding storage,0
load balancers,0
virtualization,0
database messaging services ability,0
deep areas,0
high attention detail,0
ready push limits ability work,0
cross-functional devops team environment experience building machine,0
unstructured inputs,0
structured form,0
desirable master ’ degree computer science,0
az-900,0
similar training service management,0
itil,0
generous private family healthcare,0
– great people,0
pleasant,0
international work environment opportunity,0
australia brand,0
state art agile office,0
career path fun team activities,0
native english teachers excites,0
cup coffee,0
job role description,0
end-to-end life-cycle dx customer engagement,0
responsbile,0
user needs,0
days role,0
different stages customer engagement,0
problem discovery phase,0
onsite meet customer analysts,0
critical questions,0
pain points,0
perform problem exploration user interviews,0
value-stream mapping,0
solution exploration phase,0
strategise,0
different ways,0
deployment strategist building,0
solution vision,0
realistic mvp design,0
risk reward,0
mvp development phase,0
breakdown solution design,0
user-stories actionable understandable development tasks,0
agile software development framework,0
implement dev tasks,0
support allocation tasks,0
regular feedback iterations customer progress,0
centre,0
roll-out phase,0
user-onboarding sessions,0
collect capture feedback,0
collect prioritise feature requests,0
cost implement,0
manage bug reports,0
fixes,0
value assessment mvp,0
run phase,0
fpt teams,0
axes,0
technical axis,0
technical solutions,0
value axis,0
business acumen,0
technical side,0
minimum competence level,0
different axes,0
huynh,0
junior/fresher c,0
/ .net developer job poster location ho chi,0
job job responsibilities,0
mine,0
drive optimization improvement product development,0
marketing techniques business strategies,0
custom data models,0
predictive modeling increase,0
customer experiences,0
revenue generation,0
business outcomes,0
framework test model quality,0
implement models,0
slq,0
manipulate data draw insights,0
data architectures,0
variety machine,0
decision tree learning,0
artificial neural networks,0
real-world advantages/drawbacks,0
statistical techniques concepts,0
properties distributions,0
statistical tests,0
proper usage,0
experience applications,0
drive learn master,0
new technologies techniques,0
5-7 years experience,0
master ’ phd statistics,0
another quantitative field contact person,0
thanhtu nguyen adecco,0
setup analytical tools,0
insights customer journeys product enhancements,0
consolidate analyze,0
diverse big data sources,0
various technologies,0
vision,0
innovative data,0
possible keep current technical industry developments,0
evaluate effectiveness,0
business performance data analysis model,0
cutting-edge algorithms work machine,0
deep learning tools,0
analytics solutions,0
recommendation engines,0
customer journeys,0
graph modes,0
drive application machine,0
big data techniques,0
different journeys squads,0
complex data science projects,0
manner compliance,0
large data metadata sources,0
lead discussions,0
squads,0
identify questions issues data analysis collaborate data engineers,0
technical algorithms data analytics software applications,0
work efficiency,0
projects management manage project,0
talent development mentor coach data analysts,0
competent data scientists,0
model development,0
large amount data,0
various statistical models,0
extensive experience building data analytics solutions,0
statistical analysis data visualization experience application machine,0
ai questions,0
financial markets,0
fact-based insights,0
senior management stakeholders,0
enterprise value,0
scale deep experience agile software development mastery agile principles,0
end-to-end planning implementation,0
data scientist join bi department,0
strong knowledge experience analytics computer science,0
state-of-art machine,0
data mining techniques,0
high-quality prediction systems,0
furthermore,0
information hidden vast amounts data,0
intelligent decisions,0
’ growth scale data,0
big opportunity challenge innovate,0
next generation technologies,0
ai machine learning,0
data analysis support career,0
job description exploratory data analysis,0
collect analyze data products,0
marketing trending,0
product features,0
utilize analytic tools,0
implement scripts,0
proposal hypothesis,0
statistical machine,0
coccoc product,0
ad department,0
search department,0
implement appropriate machine,0
algorithms turn microservices production environments,0
research optimization solution ad network,0
research ad allocation ad matching adnetwork,0
analysis design hypothesis optimize adnetworks,0
business outcomes job requirements,0
similar role company,0
university research institute,0
analytical heavy emphasis data mining data visualization,0
problem formulation,0
analytical ability,0
synthesis,0
common data machine learning framework,0
bsc computer science,0
degree plus,0
advertisement,0
adnetwork,0
online marketing,0
phone,0
> home assignment >,0
onsite interviews,0
> offering contact job poster,0
talent acquisition team leader | cốc cốc job poster location hanoi,0
digital native key part,0
digital platforms,0
apps,0
innovation product optimization,0
professional field,0
fast-moving landscape possess range,0
superior skills,0
effective strategies,0
identify gaps,0
current practices,0
practice solutions,0
risk maximize business opportunities,0
able partner,0
key stakeholders business,0
understand context,0
guide business priorities,0
serve domain expert,0
rapport internal business partners,0
long-term part team,0
partner pizza hut,0
company data drive business outcomes,0
key role,0
data science solutions,0
yum growth,0
customer experience drive revenue growth restaurants,0
cross-brand solutions,0
data science deliver solutions,0
yum,0
data science teams,0
white-boarding sessions,0
design sessions,0
project meetings,0
cross-functional business relations,0
work colleagues,0
united kingdom,0
huge volumes data,0
high-quality predictive/prescriptive systems qualifications,0
machine learning models products,0
in-depth knowledge python sql,0
common data science python libraries,0
numpy,0
pytorch,0
unsupervised machine,0
• hands-on experience,0
neural networks,0
time series recommender systems,0
recommendation engine models,0
business • knowledge,0
full data mining steps data preparation,0
interpretation,0
advanced analytics solutions,0
demand forecasting,0
churn prediction,0
predictive maintenance,0
ability work key business stakeholders,0
data drive business solutions,0
advanced analytical methods,0
degree/ph.d,0
nice experience aws,0
scala offer,0
environment opportunity,0
data scientist professionals,0
good exposure data modelling,0
client details company,0
years market biotechnology hq,0
silicon valley,0
description generate deliver output results,0
data analysis pipelines,0
scale cloud environment,0
work bioinformaticians,0
troubleshoot pipeline execution failures,0
troubleshoot pipeline execution issues,0
error handling,0
document code,0
corrective actions,0
manage coordinate deliverables,0
profile experience linux/unix,0
common linux/unix commands,0
linux system administration,0
r. knowledge git/github,0
meticulous record,0
attention detail master,0
hands-on job experience,0
linux command line cloud environments,0
job offer access platform,0
various public proprietary data repositories,0
tcga,0
gtex,0
dbsnp,0
ensembl,0
ucsc genome browser,0
desired skills experience experience linux/unix,0
online please,0
'apply,0
button,0
confidential discussion role please,0
van anh le,0
ambitious agile data scientists,0
productive machine,0
part data science machine learning,0
ai/ml,0
real-world challenges,0
dynamic pricing,0
customer intents,0
real time,0
search results,0
lifetime value,0
deep learning,0
content personalization signals,0
data images text,0
personalized recommendations,0
algorithm-supported promotions products,0
supply partners,0
tackle challenges,0
ml infrastructure,0
dozens gpus,0
parallel,0
cpu cores,0
memory,0
experiment implement models,0
supply side value,0
infrastructure readiness mine,0
big data hundreds millions customers,0
pricing data,0
discover,0
actionable insights drive improvements innovation work developers,0
business owners,0
daily results,0
quality research discover,0
difference need,0
hands-on data science experience,0
excellent understanding ai/ml/dl statistics,0
related open source libraries,0
significant proficiency,0
pyspark and/or,0
scala lead,0
key role team,0
multicultural work environment,0
great phd msc computer science / operations research,0
quantitative fields experience nlp,0
image processing,0
and/or recommendation systems,0
experience data engineering,0
big data framework,0
spark/hadoop experience data science,0
e-commerce and/or,0
local international applications role,0
full visa sponsorship relocation assistance,0
available eligible candidates,0
manchester,0
tikinow smart logistic,0
tnsl,0
critical pieces,0
tiki end-to-end ecommerce ecosystem,0
best-in-class services efficiency,0
supply chain cost management,0
sustainable business,0
strong fundamentals,0
advanced optimizations,0
member data platform team,0
mission build platform data,0
areas finance,0
inventory management,0
after-sale service,0
enable teams,0
analytical products,0
advanced optimizations solutions,0
goal help,0
value domain,0
responsibility building ai models,0
problem demand,0
delivery /,0
pick path optimization,0
imagination,0
everyone dare,0
mistakes,0
part life learning,0
clever algorithms pragmatic solutions automation optimization problems,0
high accuracy machine learning models,0
optimize performance,0
work members,0
proposal anything,0
ship,0
stream improvements tests,0
data-driven mindset,0
every point changes,0
gain insights,0
long process,0
become confident approach,0
important features,0
high throughput,0
research apply,0
experiment optimization,0
technical problems,0
‘ help,0
good mathematical statistical background,0
analytical mind business acumen,0
strong experiences,0
frameworks scikit-learn,0
torch,0
research papers,0
production-ready codes,0
online marketing computer science,0
talent data scientist stem,0
customer-centric mindset build personalization,0
e-commerce sector,0
complex challenges,0
business decisions data,0
design experiments,0
test hypotheses,0
actionable models,0
business operations,0
draw inferences,0
align internal stakeholders business teams,0
partner teams,0
data products requirements,0
bachelor ’ degree stem,0
key ai/ml field,0
statistical techniques classification,0
collaborative filtering,0
predictive modelling etc,0
classification etc,0
familiar etl processes,0
data visualization techniques,0
exposure bigquery,0
data platform,0
ability self-motivation,0
new technologies benefits,0
negotiable contact job poster jenny,0
large scale modeling,0
designing,0
a/b tests,0
experiment insights,0
data sources metrics,0
machine learning models production business,0
building pipelines,0
junior members,0
good understanding mathematical foundations machine,0
practical experience,0
natural language processing,0
nlp,0
knowledge graph,0
ontology,0
user behavior analysis,0
strong research experience fields,0
strong data product ownership,0
high responsibility build,0
high bar product quality,0
fluent python,0
great collaboration skills,0
active listener,0
willing help team members,0
personalization knowledge graph recommendation models,0
master phd,0
utilizing ai,0
mi investment,0
qualified talent join firm work stakeholders,0
design thinking methodologies,0
way people,0
crypto-currency market data science ai technology,0
state-of-the-art solutions,0
solutions data,0
facebook pages,0
zalo,0
whatsapp telegram ’ group,0
online materials,0
text processing algorithms implementations,0
algorithms advanced machine,0
techniques product feature,0
model applications,0
innovative solutions areas machine learning,0
computational linguistics,0
semantic information search,0
extraction,0
induction,0
classification exploration create products,0
great user experience,0
stability,0
advanced machine,0
technical data analysis share market,0
crypto market requirements,0
phd degree stem ai/ml areas,0
professional experience data scientist,0
related roles,0
software development,0
unsupervised learning client/nlp models,0
data cleaning,0
feature creation,0
model selection,0
ensemble methods,0
performance metrics,0
signal processing techniques,0
adaptive filtering,0
filter banks,0
speech analysis synthesis,0
speech audio coding,0
text classification topic mining speech enhancement speech/audio,0
compression,0
hand experience machine,0
deep neural nets,0
dnn,0
cnn,0
cloud environment,0
mesos,0
data scientist support tiki build fraud detection system,0
opportunities product process optimization,0
effectiveness different courses action,0
variety data mining/data analysis methods,0
variety data tools,0
simulations,0
ability drive business results,0
data-based insights,0
right candidate passion,0
responsibilities data scientist,0
data engineer data analytics,0
implement integrate,0
algorithms statistics,0
simulation,0
scenario analysis,0
good understanding machine,0
deep learning methods,0
strong experience ml/dl frameworks,0
production-ready codes experience,0
experiences time series,0
arima,0
x,0
ets,0
job qualifications bachelor,0
msc,0
level degree computer science,0
applied statistics,0
mathematics engineering ability,0
creative problem solver experience,0
data science machine,0
real world problems,0
good presentation skills,0
